CONTRACT_ADDRESS,APP_NAME,VERTICAL
0x968c010084588f8dbd7b977d07da271945ce9d488095f6d0b62907974b17176a,Wave Wallet,GameFi
0x96a52140c84928f93d6164eeddccdc6a6213e41d055d7117c9c791257e6f594a,Mole,DeFi
0x96e126c698325f1cd248b6940955deb1ec6f5e117e273196d55703aaf29a4407,Beeg Blue Whale,
0x96fc3272dcad0a97e6399d292deb6e77f4f48d08692e293a67ca75ad8b5ae1d4,Aftermath Finance,DeFi
0x97124b810d13f261d0b6a880a0e92c697fff5fb2b5b449f0faa21fe4e1514e02,Swarm Network,Utility
0x97564204dcd4d34cadbdc87accf2e31620b4b3b3ed6c6a44bd75863bdb75475e,Zephyrians,NFT
0x977afdf2b8f37ad102f6e61edb11f9bc35ec7bf03d41227dbec93f42802ac19b,WinX.io,Gaming
0x979380db3fcc9405626f5cf1939e819dc5d9f877997be2cb2aa4b031b1494ae5,AlphaFi,DeFi
0x97aa7a842f53ccafc3514fb875fee9b9cd65cf9e6e39087ee327c94f77a4e319,Magma Finance,DeFi
0x97b3b4b50b099201d3d579bf8cd89bc3684317bfbb52782d3aed51c1aa8da800,Nemo Protocol,DeFi
0x97bd3876f24d934fa2f2b61673674eed9e8b0ae19f3ad148970e562e7a83703f,BIRDS,GameFi
0x97d2a76efce8e7cdf55b781bd3d23382237fb1d095f9b9cad0bf1fd5f7176b62,Suilend,DeFi
0x97edb657c1fc47e02b1c6603fcdf82974b149f6b9bb8e3ade69c6ec94f3003f1,DoubleUp,Gambling
0x9805b4e93a0b83746fab66b650063cc99759678ea6dc25bd20b68a327e08eacc,Aftermath Finance,DeFi
0x980fa1e0f561f93387ba8f34efe38b1bc4ce1a0448c2b7c8bf3b6621178fb55d,Lotus Finance,DeFi
0x980fc496ea0d1b46eb251c6464483ae491d2bd274f63d721acfdc04a2ca573ae,FlowX Finance,DeFi
0x9836eaafb402b7f10477c345ef57355d47b0174de0bcc7f6e1ec15505eba0c0d,Lotus Finance,DeFi
0x983bbab642b886009b02458b7cafa2bb6df6f38439befd6f8b8ad7b4a2ec3273,Typus Finance,DeFi
0x986c77229484e3c376972f0cb66837ba361f9eb78db39c196f52cd339e35251e,Typus Finance,DeFi
0x9890d207ad592ac5cf20c0b9b169d8d5716602832949266c5b65406bd68d9b23,BIRDS,GameFi
0x9890eca0da01697ddfdc2cd4b34def4733f755cc3de662f689ab6f0763ca6f52,Cetus,DeFi
0x98a9b18454c1d3f67ef54a463f6dcd5f1df1a5c02ca4e2b99cfbc3d8b3bdb2d5,Chop Sui,Memecoin
0x98af8b8fde88f3c4bdf0fcedcf9afee7d10f66d480b74fb5a3a2e23dc7f5a564,Walrus,Utility
